Block_ID,HDFS_BW,HDFSTranmissionTime,Mapper_ID,Mapper_VM_MIPS,MapExecutionTime ,MapperBW,MapperTransmissionTime,Reducer_ID,Reducer_VM_MIPS,ReducerExecutionTime ,ReducerBW,ReducerTransmissionTime,Block_ID,Block_BW,BlockTransmissionTime,TransactionTime
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,2.7,27.16,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1712.5
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,3.65,20.57,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2065.87
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,3.65,20.57,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1680.58
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,3.65,20.57,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2154.48
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,3.65,20.57,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1550.67
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,6.82,10.85,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2144.76
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,6.82,10.85,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1540.95
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,27.27,2.78,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1594.29
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,27.27,2.78,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1023.14
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.55,28.93,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1852.54
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.55,28.93,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1441.89
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1801.85
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1416.56
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1890.46
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1286.65
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1890.46
HDFS_Block_91,11.81,80.63,mapper90,658643,780.74,2.57,28.93,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1286.65
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,2.52,29.37,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1896.29
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,2.52,29.37,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1325.14
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,2.66,27.92,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2126.94
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,2.66,27.92,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1716.29
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,6.06,12.43,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2060.76
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,27.27,2.76,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1665.8
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,4.36,16.97,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2153.91
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,4.36,16.97,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1550.1
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,3.53,20.69,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2157.63
HDFS_Block_160,2.68,355.03,mapper159,659063,781.75,3.53,20.69,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1553.82
